Course Number,Course Title,Credits,Description,Offered,Liberal Arts Requirements,Prerequisites,Tags,Sections
GWSS 110,"Introduction to Gender, Women’s & Sexuality Studies",6 credits,"This course is an introduction to the ways in which gender and sexuality structure our world, and to the ways feminists challenge established intellectual frameworks. However, since gender and sexuality are not homogeneous categories, but are crosscut by class, race, ethnicity, citizenship and culture, we also consider the ways differences in social location intersect with gender and sexuality.Sophomore Priority",Winter 2025,"SI, Social Inquiry",,AMMU Music Foundations | EDUC 2 Soc and Cult Context | GWSS Gateway | CL: 100 level,"GWSS
                                                 110.00 | Winter 2025 | Faculty: | Iveta Jusová | 🏫 | 👤 | Size: | 30 | M, W | Leighton 402 | 9:50am-11:00am | F | Leighton 402 | 9:40am-10:40am | Sophomore Priority."
GWSS 212,Foundations of LGBTQ Studies,6 credits,"This course introduces students to foundational interdisciplinary works in sexuality and gender studies, while focusing on the construction of lesbian, gay, bisexual, transgender, and queer identities in the United States. In exploring sexual and gender diversity throughout the term, this seminar highlights the complexity and variability of experiences of desire, identification, embodiment, self-definition, and community-building across different historical periods, and in relation to intersections of race, class, ethnicity, and other identities.",Winter 2025,"HI, Humanistic Inquiry | IDS, Intercultural Domestic Studies",,AMST Democracy Activism | GWSS Elective | GWSS Intermediate | CL: 200 level,"GWSS
                                                 212.00 | Winter 2025 | Faculty: | Candace Moore | 🏫 | 👤 | Size: | 25 | M, W | Leighton 426 | 1:50pm-3:00pm | F | Leighton 426 | 2:20pm-3:20pm"
GWSS 240,"Gender, Globalization and War",6 credits,"We are surrounded by images, stories and experiences of war, conflict, aggression, genocide, and widespread human suffering.  In this course we will engage with the field of transnational feminist theorizing in order to understand how globalization and militarism are gendered, and the processes through which gender becomes globalized and militarized.  We will examine hegemonic ideals of security and insecurity and track how they are gendered. You will learn to conduct and analyze in-depth interviews focusing on the militarization of civilians/ordinary people so as to understand how all our lives have been shaped by the acceptance and/or resistance to globalized militarism.",Winter 2025,"CX, Cultural/Linguistics | SI, Social Inquiry | IS, International Studies",,CL: 200 level | GWSS Elective | POSI Elective/Non POSC | SOAN Pertinent,"GWSS
                                                 240.00 | Winter 2025 | Faculty: | Meera Sehgal | 🏫 | 👤 | Size: | 25 | T, TH | Library 305 | 10:10am-11:55am"
GWSS 267,"Pagans, the Proletariat, Pussy Riot, and Putin: Gender and Sexuality in Russia",6 credits,"Gender and sexuality has been reinvented and reinscribed for centuries in Russia. Beginning with the role gender in Slavic mythology and ancient Rus, this course examines how gender and sexuality evolve— or are reconfigured— in accordance with changing sociocultural, economic, and political norms (and vice versa). Considering how Western history and Cold War narratives position both gender and Russia, this course looks at gender and sexuality as ideological projects from the development of a national identity in the Russian Empire, to the New Soviet Woman. Most critically, it examines how gender and sexuality are weaponized by the Putin regime today.",Winter 2025,"HI, Humanistic Inquiry | IS, International Studies",,CL: 200 level | GWSS Elective | RUSS Elective,"GWSS
                                                 267.00 | Winter 2025 | Faculty: | Zosha Winegar-Schultz | 🏫 | 👤 | Size: | 25 | T, TH | Leighton 303 | 3:10pm-4:55pm"
GWSS 400,Integrative Exercise,,,Winter 2025,No Exploration,Student is a GWSS major and has Senior Priority.,,"GWSS
                                                 400.01 | Winter 2025 | Faculty: | Candace Moore | 🏫 | 👤 | Size: | 25 | Grading: | S/NC | Credits: | 1 – 6 || GWSS
                                                 400.02 | Winter 2025 | Faculty: | Meera Sehgal | 🏫 | 👤 | Size: | 25 | Grading: | S/NC | Credits: | 1 – 6"
HEBR 101,Elementary Modern Hebrew,6 credits,"Think beyond the Bible! Modern Hebrew is a vital language in several fields from religion and history to international relations and the sciences. This course is for students with no previous knowledge of Modern Hebrew or whose test scores indicate that this is an appropriate level of placement. We continually integrate listening, speaking, reading, and writing in Hebrew, incorporating materials from the Israeli internet and films into level appropriate class activities and assignments.",Winter 2025,No Exploration,Not open to students whose previous Hebrew language experience exceeds the requirements of HEBR 101 .,JDST Pertinent | MEST Pertinent | MEST Pertinent | CL: 100 level,"HEBR
                                                 101.00 | Winter 2025 | Faculty: | Stacy Beckwith | 🏫 | 👤 | Size: | 16 | M, W | Language & Dining Center 202 | 1:50pm-3:00pm | T | Language & Dining Center 202 | 3:10pm-4:15pm | F | Language & Dining Center 202 | 2:20pm-3:20pm"
HIST 112,Freedom of Expression: A Global History,6 credits,"Celebrated as the bedrock of democracy, freedom of expression is often seen as an American or western value. Yet the concept has a rich and global history. In this course we will track the long and turbulent history of freedom of expression from ancient Athens and medieval Islamic societies to the Enlightenment and the drive for censorship in totalitarian and colonial societies. Among the questions we will consider are: How have the parameters of free expression changed and developed over time? What is the relationship between free speech and political protest? How has free speech itself been weaponized? How does an understanding of the history of free speech help us think about the challenges of combating hatred and misinformation in today’s internet age?",Winter 2025,"HI, Humanistic Inquiry | IS, International Studies",,CL: 100 level | HIST Modern,"HIST
                                                 112.00 | Winter 2025 | Faculty: | Amna Khalid | 🏫 | 👤 | Size: | 25 | M, W | Leighton 330 | 1:50pm-3:00pm | F | Leighton 330 | 2:20pm-3:20pm"
HIST 126,African American History II,6 credits,"This course analyzes Black Freedom activism, its goals, and protagonists from Reconstruction until today. Topics include the evolution of racial segregation and its legal and de facto expressions in the South and across the nation, the Great Migration and Harlem Renaissance, Black activism in the New Deal era, the effects of World War II and the Cold War, mass activism in the 1950s and 1960s, white supremacist resistance against Black rights, Black Power activism and Black Internationalism, the “War on Drugs,” racialized welfare state reforms, and police brutality, the election of Barack Obama, and the path to #BlackLivesMatter today.",Winter 2025,"HI, Humanistic Inquiry | IDS, Intercultural Domestic Studies",,AFST Pertinent | AFST Survey Course | AMMU Music Foundations | AMST Democracy Activism | AMST Race Ethnicty Indign | AMST Space and Place | AMST Survey 2 | EDUC 2 Soc and Cult Context | HIST Africa & Diaspora | HIST Modern | HIST US History | CL: 100 level,"HIST
                                                 126.00 | Winter 2025 | Faculty: | Rebecca Brueckmann | 🏫 | 👤 | Size: | 30 | T, TH | Leighton 202 | 1:15pm-3:00pm"
HIST 150,Politics of Art in Early Imperial China,6 credits,"Poetry has been playing an important role in politics from early China down to the present. Members of the educated elite have used this form of artistic expression to create political allegories in times of war and diplomacy. Students will learn the multiple roles that poet-censors played in early imperial China, with thematic attention given to issues of self and ethnic/gendered identity, internal exile and nostalgia, and competing religious orientations that eventually fostered the rise of Neo-Confucianism. Students will write a short biography of a poet by sampling her/his poems and poetics (all in translation) from the common reading pool.",Winter 2025,"HI, Humanistic Inquiry | IS, International Studies | WR2 Writing Requirement 2",,ASST Disciplinary | ASST East Asia | ASST Humanities | ASST Pertinent | EAST Core | EAST Supporting | HIST Asia | HIST Pre-Modern | MARS Core Course | POSI Elective/Non POSC | CL: 100 level,"HIST
                                                 150.00 | Winter 2025 | Faculty: | Seungjoo Yoon | 🏫 | 👤 | Size: | 30 | M, W | Leighton 301 | 11:10am-12:20pm | F | Leighton 301 | 12:00pm-1:00pm"
HIST 154,Social Movements in Postwar Japan,6 credits,"This course tackles an evolving meaning of democracy and sovereignty in postwar Japan shaped by the transformative power of its social movements. We will place the anti-nuclear movement and anti-base struggles of the 1950s, the protest movements against revision of the U.S.-Japan Security Treaty of the 1960s, and environmentalist movements against the U.S. Cold War projects in Asia to see how they intersect with the worldwide “New Left” movements of the 1960s. Topics include student activism, labor unionism, Marxist movements, and gangsterism (yakuza). Students will engage with political art, photographs, manga, films, reportage, memoirs, autobiographies, interview records, novels, and detective stories.",Winter 2025,"HI, Humanistic Inquiry | IS, International Studies | WR2 Writing Requirement 2",,ACE Applied | ACE Theoretical | ASST East Asia | EAST Supporting | HIST Asia | CL: 100 level,"HIST
                                                 154.00 | Winter 2025 | Faculty: | Seungjoo Yoon | 🏫 | 👤 | Size: | 25 | M, W | Leighton 202 | 1:50pm-3:00pm | F | Leighton 202 | 2:20pm-3:20pm"
HIST 161,From Mughals to Mahatma Gandhi: An Introduction to Modern Indian History,6 credits,"An introductory survey course to familiarize students with some of the key themes and debates in the historiography of modern India. Beginning with an overview of Mughal rule in India, the main focus of the course is the colonial period. The course ends with a discussion of 1947: the hour of independence as well as the creation of two new nation-states, India and Pakistan. Topics include Oriental Despotism, colonial rule, nationalism, communalism, gender, caste and race. No prior knowledge of South Asian History required.",Winter 2025,"CX, Cultural/Linguistics | HI, Humanistic Inquiry | IS, International Studies",,ASST Humanities | ASST South Asia | HIST Asia | HIST Modern | POSI Elective/Non POSC | SAST Humanistic Inquiry | CL: 100 level,"HIST
                                                 161.00 | Winter 2025 | Faculty: | Amna Khalid | 🏫 | 👤 | Size: | 30 | M, W | Leighton 202 | 11:10am-12:20pm | F | Leighton 202 | 12:00pm-1:00pm"
HIST 170,Modern Latin America,6 credits,"This course focuses on some of the principal challenges that Latin Americans have confronted over the first two centuries of post-colonial existence (ca. 1820-2020). Case studies will highlight themes and concerns still pertinent today, such as: political instability and authoritarianism, economic underdevelopment and poverty, neo-colonial challenges to national sovereignty, deeply ingrained socioeconomic and racial inequalities, and popular struggles to attain meaningful political, economic, and cultural rights, among others.",Winter 2025,"CX, Cultural/Linguistics | HI, Humanistic Inquiry | IS, International Studies",,HIST Latin America | HIST Modern | LTAM Electives | POSI Elective/Non POSC | CL: 100 level,"HIST
                                                 170.00 | Winter 2025 | Faculty: | Andrew Fisher | 🏫 | 👤 | Size: | 30 | M, W | Leighton 236 | 12:30pm-1:40pm | F | Leighton 236 | 1:10pm-2:10pm"
HIST 205,American Environmental History,6 credits,"Environmental concerns, conflicts, and change mark the course of American history, from the distant colonial past to our own day. This course will consider the nature of these eco-cultural developments, focusing on the complicated ways that human thought and perception, culture and society, and natural processes and biota have all combined to forge Americans’ changing relationship with the natural world. Topics will include Native American subsistence strategies, Euroamerican settlement, industrialization, urbanization, consumption, and the environmental movement. As we explore these issues, one of our overarching goals will be to develop an historical context for thinking deeply about contemporary environmental dilemmas.",Winter 2025,"HI, Humanistic Inquiry | IDS, Intercultural Domestic Studies",,AMST Democracy Activism | AMST Space and Place | ENTS Core Course | HIST Environment and Health | HIST Modern | HIST US History | POSI Elective/Non POSC | PPOL Envir Pol & Sustainablty | CL: 200 level,"HIST
                                                 205.00 | Winter 2025 | Faculty: | George Vrtis | 🏫 | 👤 | Size: | 25 | T, TH | Leighton 236 | 1:15pm-3:00pm"
HIST 233,The Byzantine World & Its Neighbors,6 credits,"The Byzantine world (eighth-fifteenth centuries) was a zone of fascinating tensions, exchanges, and encounters. Through a wide variety of written and visual evidence, we will examine key features of its history and culture: the nature of government; piety and religious controversy; art and music; the evolving relations with the Latin West, Armenia, the Slavic North and West, and the Dar al-Islam (the Abbasids and Seljuk and Ottoman Turks); gender; economic life; and social relations.Extra Time for special events and a group project (ecumenical council).Extra Time for special events and a group project (ecumenical council).",Winter 2025,"CX, Cultural/Linguistics | HI, Humanistic Inquiry | IS, International Studies | QRE, Quantitative Reasoning | WR2 Writing Requirement 2",,ACE Theoretical | ARCN Pertinent | EUST Transnational Supp | HIST Ancient & Medieval | HIST Asia | HIST Pre-Modern | MARS Core Course | MARS Supporting | MEST Supporting Group 1 | CL: 200 level | ARTH Pre-1800,"HIST
                                                 233.00 | Winter 2025 | Faculty: | William North | 🏫 | 👤 | Size: | 30 | M, W | Leighton 304 | 8:30am-9:40am | F | Leighton 304 | 8:30am-9:30am"
HIST 245,"Ireland: Land, Conflict and Memory",6 credits,"This course explores the history of Ireland from Medieval times through the Great Famine, ending with a look at the Partition of Ireland in 1920. We examine themes of religious and cultural conflict and explore a series of English political and military interventions. Throughout the course, we will analyze views of the Irish landscape, landholding patterns, and health and welfare issues. Finally, we explore the contested nature of history and memory as the class discusses monuments and memory production in Irish public spaces.",Winter 2025,"HI, Humanistic Inquiry | IS, International Studies | QRE, Quantitative Reasoning | WR2 Writing Requirement 2",,DGAH Cross Disc Collabortn | EUST Country Specific | HIST Atlantic World | HIST Early Mdrn Europe | HIST Environment and Health | HIST Modern | MARS Core Course | MARS Supporting | POSI Elective/Non POSC | CL: 200 level,"HIST
                                                 245.00 | Winter 2025 | Faculty: | Susannah Ottaway | 🏫 | 👤 | Size: | 25 | M, W | Leighton 426 | 12:30pm-1:40pm | F | Leighton 426 | 1:10pm-2:10pm"
HIST 264,A History of India Through Food,6 credits,"Indian cuisine is today famed worldwide and known for its complex diversity. This course will explore food as a gatewaythroughwhich to understand a broader history of society, economy and politics in the Indian subcontinent. An analysis of the production, distribution, and consumption of food and spices, beginning in the ancient era and ending in contemporary times, will allow us to examine community formation, patterns of wealth distribution, and state-building strategies. We will look at topics including farming and the environment, medical and religious systems, culture, caste, and colonialism.",Winter 2025,"HI, Humanistic Inquiry | IS, International Studies",,ASST Humanities | CCST Encounters | HIST Asia | HIST Environment and Health | CL: 200 level,"HIST
                                                 264.00 | Winter 2025 | Faculty: | Brendan LaRocque | 🏫 | 👤 | Size: | 25 | M, W | Leighton 202 | 9:50am-11:00am | F | Leighton 202 | 9:40am-10:40am"
HIST 290,Urban History in Beijing and Beyond Program: Directed Reading: Approaches to Chinese Cities,2 credits,"This is a self-directed course during spring break when participants will read selected works to cover certain persistent themes that cut across evolving patterns of Chinese (and Korean) cities they will visit. Students will write an interpretive essay on the common readings of their choice prior to departure and discuss it with other participants during the first week of the program.Register for this course by submitting theIndependentReading/Study/ResearchForm, which requires approval from the project faculty supervisor.",Winter 2025,No Exploration,,CL: Independent Study,"HIST
                                                 290.11 | Winter 2025 | Faculty: | Rebecca Brueckmann | 🏫 | 👤"
HIST 293,Small Group Study,1 credits,,Winter 2025,No Exploration,,CL: Independent Study,"HIST
                                                 293.11 | Winter 2025 | Faculty: | William North | 🏫 | 👤 | T | Leighton 236 | 8:15am-10:00am"
HIST 298,Junior Colloquium,6 credits,"In the junior year, majors must take this six-credit reading and discussion course taught each year by different members of the department faculty. The course is also required for the History minor. The general purpose of History 298 is to help students reach a more sophisticated understanding of the nature of history as a discipline and of the approaches and methods of historians. A major who is considering off-campus study in the junior year should consult with their adviser on when to take History 298.Required for History majors and minors",Winter 2025,"HI, Humanistic Inquiry","Student has completed any of the following course(s): Two 6 credit History courses excluding HIST 100 – A&I , Independent Study and Comps with a grade of C- or better.",ASST Disciplinary | ASST Methodology | CL: 200 level,"HIST
                                                 298.00 | Winter 2025 | Faculty: | Andrew Fisher | 🏫 | 👤 | Size: | 25 | M, W | Leighton 303 | 9:50am-11:00am | F | Leighton 303 | 9:40am-10:40am"
HIST 320,The Progressive Era?,6 credits,"Was the Progressive Era progressive? It was a period of social reform, labor activism, and woman suffrage, but also of Jim Crow, corporate capitalism, and U.S. imperialism. These are among the topics that can be explored in research papers on this contradictory era. We will begin by reading a brief text that surveys the major subject areas and relevant historiography of the period. The course will center on the writing of a 25-30 page based on primary research, which will be read and critiqued by members of the seminar.",Winter 2025,"HI, Humanistic Inquiry | IDS, Intercultural Domestic Studies | WR2 Writing Requirement 2",,AMST Prdctn Consmptn Cult | HIST Modern | HIST US History | CL: 300 level,"HIST
                                                 320.00 | Winter 2025 | Faculty: | Annette Igra | 🏫 | 👤 | Size: | 15 | T, TH | Leighton 303 | 10:10am-11:55am"
HIST 398,Advanced Historical Writing,6 credits,"This course is designed to support majors in developing advanced skills in historical research and writing. Through a combination of class discussion, small group work, and one-on-one interactions with the professor, majors learn the process of constructing sophisticated, well-documented, and well-written historical arguments within the context of an extended project of their own design. They also learn and practice strategies for engaging critically with contemporary scholarship and effective techniques of peer review and the oral presentation of research. By permission of the instructor only.Concurrent enrollment in HIST 400 is required.",Winter 2025,"HI, Humanistic Inquiry | WR2 Writing Requirement 2",,,"HIST
                                                 398.01 | Winter 2025 | Faculty: | Annette Igra | 🏫 | 👤 | Size: | 15 | Grading: | S/CR/NC | T, TH | Leighton 202 | 3:10pm-4:55pm || HIST
                                                 398.02 | Winter 2025 | Faculty: | David Tompkins | 🏫 | 👤 | Size: | 15 | Grading: | S/CR/NC | T, TH | Leighton 330 | 10:10am-11:55am"
HIST 400,Integrative Exercise,6 credits,Required of all seniors majoring in history. Registration in this course is contingent upon prior approval of a research proposal.,Winter 2025,,Student is a History major and has Senior Priority.,,"HIST
                                                 400.00 | Winter 2025 | Faculty: | Victoria Morse | 🏫 | 👤 | Size: | 45 | Grading: | S/NC"
IDSC 111,Perspectives on the Humanities,1 credits,"What are the humanities? Come find out in eight class sessions exploring different humanistic fields and disciplines. Each week, a humanities professor will visit our class to discuss their work as well as exciting new trends in their disciplines. We’ll learn how different humanities disciplines think about evidence, make arguments, and conduct research in the service of exploring fundamental questions about what it means to be human. Students will discuss an array of humanistic topics in a low-stakes environment. This course is especially recommended for students interested in exploring the variety of possible majors and minors within the Humanities.",Winter 2025,No Exploration,,CL: 100 level,"IDSC
                                                 111.00 | Winter 2025 | Faculty: | Baird Jarman | 🏫 | 👤 | Size: | 30 | Grading: | S/CR/NC | M | Leighton 304 | 3:10pm-4:20pm"
IDSC 198,FOCUS Colloquium,2 credits,"This colloquium is designed to give students participating in the Focusing on Cultivating Scientists program an opportunity to learn and use skills in scientific study, reasoning, and modeling. The topics of this project-based colloquium will vary each term, and allow students to develop competencies in areas relevant to multiple science disciplines.",Winter 2025,No Exploration,,CL: 100 level,"IDSC
                                                 198.01 | Winter 2025 | Faculty: | Anna Rafferty | 🏫 | 👤 | Size: | 15 | Grading: | S/CR/NC | W | Anderson Hall 223 | 1:50pm-3:00pm || IDSC
                                                 198.02 | Winter 2025 | Faculty: | Anna Rafferty | 🏫 | 👤 | Size: | 17 | Grading: | S/CR/NC | M | Anderson Hall 223 | 1:50pm-3:00pm"
IDSC 202,MMUF Research Seminar,2 credits,"This seminar develops the skills needed to engage in and communicate advanced research. Each participant will work and present regularly on their ongoing research projects, and participate actively in an ongoing series of workshops and conferences. The seminar will also discuss in depth the nature of academia as institution and culture, and the role of diversity in the production of knowledge and teaching in American higher education. Open only to students with MMUF fellow status.Must be MMUF Fellow",Winter 2025,No Exploration,,CL: 200 level,"IDSC
                                                 202.00 | Winter 2025 | Faculty: | Cherlon Ussery | 🏫 | 👤 | Size: | 15 | Grading: | S/CR/NC | F | Olin 102 | 3:30pm-4:30pm"
IDSC 250,Color!,6 credits,"If you had to explain to a blind person the nature of color, how would you describe it? Is it a property of objects, oscillations of an electric field, a feature of how the eye generates electrochemical signals to send to the brain, or perhaps a property of the experiences themselves? This team-taught course takes  a multidisciplinary approach to color, drawing from physics, psychology, and philosophy. We will explore topics such as the nature of light, visual anatomy, the process by which light is converted to a neural code, color mixing, linguistic differences in color processing, and how color leads us to confront the tension that sometimes exists between appearance and reality.",Winter 2025,No Exploration,Student has completed any of the following course(s): One Introductory PHIL or PSYC course higher than 110 or One Introductory PHYS course higher than 130 with a grade of C- or better.,CGSC Elective | PHIL Theoretical Area | CL: 200 level,"IDSC
                                                 250.00 | Winter 2025 | Faculty: | Julia Strand | 🏫 | 👤 | ·                                                                                     Marty Baylor | 🏫 | 👤 | ·                                                                                     Jason Decker | 🏫 | 👤 | Size: | 36 | T, TH | Anderson Hall 036 | 10:10am-11:55am"
IDSC 251,Windows on the Good Life,2 credits,"Human beings are always and everywhere challenged by the question: What should I do to spend my mortal time well? One way to approach this ultimate challenge is to explore some of the great cultural products of our civilization–works that are a delight to read for their wisdom and artfulness. This series of two-credit courses will explore a philosophical dialogue of Plato in the fall, a work from the Bible in the winter, and a pair of plays by Shakespeare in the spring. The course can be repeated for credit throughout the year and in subsequent years.",Winter 2025,"HI, Humanistic Inquiry",,CL: 200 level,"IDSC
                                                 251.01 | Winter 2025 | Faculty: | Laurence Cooper | 🏫 | 👤 | Size: | 18 | Grading: | S/CR/NC | M | Hasenstab 105 | 3:10pm-4:45pm || IDSC
                                                 251.02 | Winter 2025 | Faculty: | Laurence Cooper | 🏫 | 👤 | Size: | 18 | Grading: | S/CR/NC | M | Hasenstab 105 | 8:00pm-9:45pm"
IDSC 280,Learning from Internships,1 credits,"Carleton does not grant credit for internships, but valuable off-campus learning experiences can be integrated into the academic program. Although the specific nature of internship experiences will vary, internships are opportunities to apply and extend one's academic skills and interests into work in non-academic settings. This course will involve carefully monitored work experiences in which a student has intentional learning goals. Achieving these goals will be measured through reflective writing assignments, as well as written work in connection with assigned readings. Recommended Preparation:An internship and learning contract approved by the Career Center Director of Internships. The internship must be a minimum of 6 weeks and 180 hours and approved in advance by the instructor and the Career Center Internship Program Director.Instructor Consent required",Winter 2025,No Exploration,"This course requires permission from the instructor. To request permission, click this link and fill out the request form. Please note: the link will open in a new window. Once you have received permission from the instructor, you will be able to return to this page to register for the course.",CL: 200 level,"IDSC
                                                 280.00 | Winter 2025 | Faculty: | Yansi Pérez | 🏫 | 👤 | Size: | 5 | Grading: | S/CR/NC"
IDSC 298,FOCUS Sophomore Colloquium,1 credits,This colloquium is designed for sophomore students participating in the Focusing on Cultivating Scientists program. It will provide an opportunity to participate in STEM-based projects on campus and in the community. The topics of this project-based colloquium will vary each term.Open only to students who completed IDSC 198,Winter 2025,No Exploration,Student has completed any of the following course(s): IDSC 198 – Focus Colloquium with a grade of C- or better during their first year.,ACE Applied | CL: 200 level,"IDSC
                                                 298.00 | Winter 2025 | Faculty: | Deborah Gross | 🏫 | 👤 | Size: | 30 | Grading: | S/CR/NC | W | Anderson Hall 036 | 3:10pm-4:20pm"
IDSC 400,Integrative Exercise,,Integrative Exercise for special majors,Winter 2025,,"This course requires permission from the instructor. To request permission, click this link and fill out the request form. Please note: the link will open in a new window. Once you have received permission from the instructor, you will be able to return to this page to register for the course.",,"IDSC
                                                 400.01 | Winter 2025 | Faculty: | Shaohua Guo | 🏫 | 👤 | Size: | 5 | Grading: | S/NC | Credits: | 1 – 6 || IDSC
                                                 400.02 | Winter 2025 | Faculty: | Judith Howard | 🏫 | 👤 | Size: | 1 | Grading: | S/NC | Credits: | 1 – 6 || IDSC
                                                 400.03 | Winter 2025 | Faculty: | Pamela Feldman-Savelsberg | 🏫 | 👤 | ·                                                                                     Annette Nierobisz | 🏫 | 👤 | Size: | 1 | Grading: | S/NC | Credits: | 1 – 6"
JAPN 102,Elementary Japanese,6 credits,Continuation of Japanese 101.,Winter 2025,No Exploration,Student has completed any of the following course(s): JAPN 101 – Elementary Japanese with a grade of C- or better or equivalent.,ASST Language | CL: 100 level,"JAPN
                                                 102.01 | Winter 2025 | Faculty: | Chie Tokuyama | 🏫 | 👤 | Size: | 16 | M, W | Language & Dining Center 302 | 8:30am-9:40am | T, TH | Language & Dining Center 302 | 8:15am-9:20am | F | Language & Dining Center 302 | 8:30am-9:30am || JAPN
                                                 102.02 | Winter 2025 | Faculty: | Chie Tokuyama | 🏫 | 👤 | Size: | 16 | M, W | Language & Dining Center 202 | 12:30pm-1:40pm | T, TH | Language & Dining Center 202 | 1:15pm-2:20pm | F | Language & Dining Center 202 | 1:10pm-2:10pm"
JAPN 205,Intermediate Japanese,6 credits,Continuation of Japanese 204. Completion of this course with a C- or better fulfills language requirement.,Winter 2025,LP Language Requirement | No Exploration,Student has completed any of the following course(s): JAPN 204 – Intermediate Japanese with a grade of C- or better or equivalent.,ASST Language | CL: 200 level,"JAPN
                                                 205.01 | Winter 2025 | Faculty: | Miaki Habuka | 🏫 | 👤 | Size: | 16 | M, W | Language & Dining Center 243 | 9:50am-11:00am | T, TH | Language & Dining Center 243 | 9:30am-10:35am | F | Language & Dining Center 243 | 9:40am-10:40am || JAPN
                                                 205.02 | Winter 2025 | Faculty: | Miaki Habuka | 🏫 | 👤 | Size: | 16 | M, W | Language & Dining Center 243 | 11:10am-12:20pm | T, TH | Language & Dining Center 243 | 10:45am-11:50am | F | Language & Dining Center 243 | 12:00pm-1:00pm"
JAPN 251,The Tale of Genji—A Thousand Years of Words and Images,6 credits,"Considered by many as the world’s first novel,The Tale of Genji, written around 1000 CE, depicts the lives and struggles of the Heian aristocrats. This class will introduce students to the celebrated classic, theories on the work, and one-thousand-years of visual history. Unlike today’s solitary reading activities, the tale in premodernity was experienced as the combination of texts, images, and sounds. This course observes and discusses an intertwined history of words and images from premodernity to modernity, examining the dynamics between texts and images through the screen art, incense, manga, theater, and movies. All materials are in English.In Translation",Winter 2025,"IS, International Studies | LA, Literary/Artistic Analysis",,ASST Arts & Literature | CL: 200 level,"JAPN
                                                 251.00 | Winter 2025 | Faculty: | Lingling Ma | 🏫 | 👤 | Size: | 25 | T, TH | Library 305 | 1:15pm-3:00pm"
JAPN 346,Advanced Japanese: Consumerist Culture in Contemporary Japan,6 credits,"This course focuses on the consumerist culture in Japan. It will look at the contemporary Japanese short stories, movies, new media, and critical theories that focus on  the overt consumption of material and immaterial commodities, such as food, fashion,and brands, in contemporary Japan. This course will help students develop reading andlistening skills, situated in the contemporary Japanese cultural context. Students will practice and integrate their Japanese through in-class discussion and written assignments.",Winter 2025,"IS, International Studies | LA, Literary/Artistic Analysis",Student has completed any of the following course(s): JAPN 206 – Japanese in Cultural Context with grade of C- or better.,ASST Arts & Literature | CL: 100 level,"JAPN
                                                 346.00 | Winter 2025 | Faculty: | Lingling Ma | 🏫 | 👤 | Size: | 15 | M, W | Weitz Center 231 | 1:50pm-3:00pm | F | Weitz Center 231 | 2:20pm-3:20pm"
LATN 102,Intermediate Latin,6 credits,Continuation of essential forms and grammar.,Winter 2025,No Exploration,Student has completed any of the following course(s): LATN 101 – Elementary Latin with a grade of C- or better or equivalent.,CL: 100 level,"LATN
                                                 102.00 | Winter 2025 | Faculty: | Jake Morton | 🏫 | 👤 | Size: | 25 | M, W | Language & Dining Center 242 | 1:50pm-3:00pm | T, TH | Language & Dining Center 242 | 3:10pm-4:15pm | F | Language & Dining Center 242 | 2:20pm-3:20pm"
LATN 237,"Amor, Furor, Ira: The Epics of Vergil and Ovid",6 credits,"Two superlative Latin poets; two radically different epic poems. In this course we will read selections from theAeneidand theMetamorphoses, focusing in particular on each poet's depiction of powerful emotions and their consequences.",Winter 2025,"IS, International Studies | LA, Literary/Artistic Analysis",Student has completed any of the following course(s): LATN 204 – Intermediate Latin Prose and Poetry with a grade of C- or better or equivalent.,CL: 200 level | CLAS Additional | MARS Supporting,"LATN
                                                 237.00 | Winter 2025 | Faculty: | Clara Hardy | 🏫 | 👤 | Size: | 25 | M, W | Library 344 | 11:10am-12:20pm | F | Library 344 | 12:00pm-1:00pm"
LING 110,Introduction to Linguistics,6 credits,"The capacity to acquire and use natural languages such as English is surely one of the more remarkable features of human nature. In this course, we explore several aspects of this ability. Topics include the sound systems of natural languages, the structure of words, principles that regulate word order, the course of language acquisition in children, and what these reveal about the nature of the mind.",Winter 2025,"FSR, Formal or Statistical Reasoning",,CL: 100 level | LING core 100 or 110,"LING
                                                 110.00 | Winter 2025 | Faculty: | Cherlon Ussery | 🏫 | 👤 | Size: | 30 | T, TH | Weitz Center 235 | 1:15pm-3:00pm"
LING 145,Dialectology,6 credits,"This course explores dialectology, the study of dialects. Participants learn the field’s history before turning to World Englishes, with special attention to the current dialects of American English. We analyze the earliest colonial American English dialects, highlighting language contact with indigenous and other languages, the linguistic impact of the Atlantic slave trade, and subsequent impacts of westward migration. Participants also assess speakers’ perceptions of dialects; analyze dialectal variation as portrayed in media, either accurately or stereotypically; and re-examine what constitutes standard/non-standard dialects, and how ‘standardness’ has changed over time. Not open to students who have taken LING 140.Not open to students who have taken LING 140",Winter 2025,"IDS, Intercultural Domestic Studies | SI, Social Inquiry",Not open to students who have taken LING 140 – Language in the US.,AMST Race Ethnicty Indign | AMST Space and Place | CL: 100 level | LING Elective,"LING
                                                 145.00 | Winter 2025 | Faculty: | Andrew Bray | 🏫 | 👤 | Size: | 30 | M, W | Willis 203 | 11:10am-12:20pm | F | Willis 203 | 12:00pm-1:00pm"
