Course Number,Course Title,Credits,Description,Offered,Liberal Arts Requirements,Prerequisites,Tags,Sections
MUSC 166J.02,Trombone/Euphonium (Juried),1 credits,Lessons are scheduled individually with the instructor.Music lesson fee information can be found on theMusic Department website.,Fall 2024,"ARP, Arts Practice",,MUSC Juried,"MUSC
                                                 166J.02 | Fall 2024 | Faculty: | Joshua Becker | 🏫 | 👤 | Size: | 50"
MUSC 167,Tuba,1 credits,Lessons are scheduled individually with the instructor.Music lesson fee information can be found on theMusic Department website.,Fall 2024,"ARP, Arts Practice",,,"MUSC
                                                 167.00 | Fall 2024 | Faculty: | Joshua Becker | 🏫 | 👤 | Size: | 50 | Grading: | S/CR/NC"
MUSC 167J,Tuba (Juried),1 credits,Lessons are scheduled individually with the instructor.Music lesson fee information can be found on theMusic Department website.,Fall 2024,"ARP, Arts Practice",,MUSC Juried,"MUSC
                                                 167J.00 | Fall 2024 | Faculty: | Joshua Becker | 🏫 | 👤 | Size: | 50"
MUSC 169,Harp,1 credits,Studies to develop technique and a varied selection of works from the Renaissance and Baroque periods. Works from the Romantic and Modern periods are also studied.Lessons are scheduled individually with the instructor.Music lesson fee information can be found on theMusic Department website.,Fall 2024,"ARP, Arts Practice",,,"MUSC
                                                 169.00 | Fall 2024 | Faculty: | Elinor Niemisto | 🏫 | 👤 | Size: | 50 | Grading: | S/CR/NC"
MUSC 169J,Harp (Juried),1 credits,Studies to develop technique and a varied selection of works from the Renaissance and Baroque periods. Works from the Romantic and Modern periods are also studied.Lessons are scheduled individually with the instructor.Music lesson fee information can be found on theMusic Department website.,Fall 2024,"ARP, Arts Practice",,MUSC Juried,"MUSC
                                                 169J.00 | Fall 2024 | Faculty: | Elinor Niemisto | 🏫 | 👤 | Size: | 50"
MUSC 170,Harpsichord,1 credits,Lessons are scheduled individually with the instructor.Music lesson fee information can be found on theMusic Department website.,Fall 2024,"ARP, Arts Practice",,,"MUSC
                                                 170.00 | Fall 2024 | Faculty: | Janean Hall | 🏫 | 👤 | Size: | 50 | Grading: | S/CR/NC"
MUSC 170J,Harpsichord (Juried),1 credits,Lessons are scheduled individually with the instructor.Music lesson fee information can be found on theMusic Department website.,Fall 2024,"ARP, Arts Practice",,MUSC Juried,"MUSC
                                                 170J.00 | Fall 2024 | Faculty: | Janean Hall | 🏫 | 👤 | Size: | 50"
MUSC 171,Organ,1 credits,Basic piano skills required.Lessons are scheduled individually with the instructor.Basic piano skills required. Music lesson fee information can be found on theMusic Department website.,Fall 2024,"ARP, Arts Practice",,,"MUSC
                                                 171.00 | Fall 2024 | Faculty: | Janean Hall | 🏫 | 👤 | Size: | 50 | Grading: | S/CR/NC"
MUSC 171J,Organ (Juried),1 credits,Basic piano skills required.Lessons are scheduled individually with the instructor.Basic piano skills required. Music lesson fee information can be found on theMusic Department website.,Fall 2024,"ARP, Arts Practice",,MUSC Juried,"MUSC
                                                 171J.00 | Fall 2024 | Faculty: | Janean Hall | 🏫 | 👤 | Size: | 50"
MUSC 172,Oud,1 credits,Beginning through advanced study of the Arab oud. Previous musical experience is not necessary. Instruments are provided.Lessons are scheduled individually with the instructor.Music lesson fee information can be found on theMusic Department website.,Fall 2024,"ARP, Arts Practice",,MEST Pertinent | MEST Pertinent,"MUSC
                                                 172.00 | Fall 2024 | Faculty: | Yaron Klein | 🏫 | 👤 | Size: | 25 | Grading: | S/CR/NC"
MUSC 172J,Oud (Juried),1 credits,Beginning through advanced study of the Arab oud. Previous musical experience is not necessary. Instruments are provided.Lessons are scheduled individually with the instructor.Music lesson fee information can be found on theMusic Department website.,Fall 2024,"ARP, Arts Practice",,MUSC Juried,"MUSC
                                                 172J.00 | Fall 2024 | Faculty: | Yaron Klein | 🏫 | 👤 | Size: | 25"
MUSC 175,Jazz Piano,1 credits,"Study the tools for learning the jazz ""language."" Learn to improvise through scale and mode study, transcription, and composition. Turn chord symbols into chord voicings and accompaniment. Explore the blues, jazz ""standards,"" and today's music. Materials: staff paper, The Real Book, vol. 1, or similar fake book, and the app iReal Pro. Weekly studio class required. Prerequisite: Three years of piano.Lessons are scheduled individually with the instructor.Music lesson fee information can be found on theMusic Department website.",Fall 2024,"ARP, Arts Practice",,,"MUSC
                                                 175.00 | Fall 2024 | Faculty: | Laura Caviani | 🏫 | 👤 | Size: | 50 | Grading: | S/CR/NC"
MUSC 175J,Jazz Piano (Juried),1 credits,"Study the tools for learning the jazz ""language."" Learn to improvise through scale and mode study, transcription, and composition. Turn chord symbols into chord voicings and accompaniment. Explore the blues, jazz ""standards,"" and today's music. Materials: staff paper, The Real Book, vol. 1, or similar fake book, and the app iReal Pro. Weekly studio class required. Prerequisite: Three years of piano.Lessons are scheduled individually with the instructor.Music lesson fee information can be found on theMusic Department website.",Fall 2024,"ARP, Arts Practice",,MUSC Juried,"MUSC
                                                 175J.00 | Fall 2024 | Faculty: | Laura Caviani | 🏫 | 👤 | Size: | 50"
MUSC 176,Electric & Acoustic Bass,1 credits,"The study of either electric bass guitar or acoustic string bass in all contemporary styles including rock, jazz, pop, rap, and reggae.Lessons are scheduled individually with the instructor.Music lesson fee information can be found on theMusic Department website.",Fall 2024,"ARP, Arts Practice",,,"MUSC
                                                 176.00 | Fall 2024 | Faculty: | Travis Schilling | 🏫 | 👤 | Size: | 50 | Grading: | S/CR/NC"
MUSC 176J,Electric & Acoustic Bass (Juried),1 credits,"The study of either electric bass guitar or acoustic string bass in all contemporary styles including rock, jazz, pop, rap, and reggae.Lessons are scheduled individually with the instructor.Music lesson fee information can be found on theMusic Department website.",Fall 2024,"ARP, Arts Practice",,MUSC Juried,"MUSC
                                                 176J.00 | Fall 2024 | Faculty: | Travis Schilling | 🏫 | 👤 | Size: | 50"
MUSC 177,Jazz and Blues Guitar,1 credits,"Study of chord voicings, accompanimental techniques, and solo guitar performance in the jazz idiom. Prerequisites: previous study of guitar and the ability to read music, or the permission of the instructor. Students must provide their own instruments.Lessons are scheduled individually with the instructor.Music lesson fee information can be found on theMusic Department website.",Fall 2024,"ARP, Arts Practice",,,"MUSC
                                                 177.00 | Fall 2024 | Faculty: | Zacc Harris | 🏫 | 👤 | Size: | 50 | Grading: | S/CR/NC"
MUSC 177J,Jazz and Blues Guitar (Juried),1 credits,"Study of chord voicings, accompanimental techniques, and solo guitar performance in the jazz idiom. Prerequisites: previous study of guitar and the ability to read music, or the permission of the instructor. Students must provide their own instruments.Lessons are scheduled individually with the instructor.Music lesson fee information can be found on theMusic Department website.",Fall 2024,"ARP, Arts Practice",,MUSC Juried,"MUSC
                                                 177J.00 | Fall 2024 | Faculty: | Zacc Harris | 🏫 | 👤 | Size: | 50"
MUSC 178,Drum Set Instruction,1 credits,Drum Set Instruction on/in jazz and popular drumming styles which use the standard drum set. Equipment available for registered students.Lessons are scheduled individually with the instructor.Music lesson fee information can be found on theMusic Department website.,Fall 2024,"ARP, Arts Practice",,,"MUSC
                                                 178.00 | Fall 2024 | Faculty: | Dave Schmalenberger | 🏫 | 👤 | Size: | 50 | Grading: | S/CR/NC"
MUSC 178J,Drum Set Instruction (Juried),1 credits,Drum Set Instruction on/in jazz and popular drumming styles which use the standard drum set. Equipment available for registered students.Lessons are scheduled individually with the instructor.Music lesson fee information can be found on theMusic Department website.,Fall 2024,"ARP, Arts Practice",,MUSC Juried,"MUSC
                                                 178J.00 | Fall 2024 | Faculty: | Dave Schmalenberger | 🏫 | 👤 | Size: | 50"
MUSC 179,Jazz Improvisation,1 credits,"The study of the basic grammar and syntax of jazz improvisation styles, including transcribing solos, chord/scale materials and melodic patterns. Weekly studio class required.Lessons are scheduled individually with the instructor.Music lesson fee information can be found on theMusic Department website.",Fall 2024,"ARP, Arts Practice",,,"MUSC
                                                 179.00 | Fall 2024 | Faculty: | Laura Caviani | 🏫 | 👤 | Size: | 50 | Grading: | S/CR/NC || MUSC
                                                 179.01 | Fall 2024 | Faculty: | Laura Caviani | 🏫 | 👤 | Size: | 50 | Grading: | S/CR/NC || MUSC
                                                 179.02 | Fall 2024 | Faculty: | Zacc Harris | 🏫 | 👤 | Size: | 50 | Grading: | S/CR/NC || MUSC
                                                 179.03 | Fall 2024 | Faculty: | Greg Byers | 🏫 | 👤 | Size: | 50 | Grading: | S/CR/NC"
MUSC 179J,Jazz Improvisation (Juried),1 credits,"The study of the basic grammar and syntax of jazz improvisation styles, including transcribing solos, chord/scale materials and melodic patterns. Weekly studio class required.Lessons are scheduled individually with the instructor.Music lesson fee information can be found on theMusic Department website.",Fall 2024,"ARP, Arts Practice",,MUSC Juried,"MUSC
                                                 179J.00 | Fall 2024 | Faculty: | Laura Caviani | 🏫 | 👤 | Size: | 50 || MUSC
                                                 179J.01 | Fall 2024 | Faculty: | Laura Caviani | 🏫 | 👤 | Size: | 50 || MUSC
                                                 179J.02 | Fall 2024 | Faculty: | Zacc Harris | 🏫 | 👤 | Size: | 50 || MUSC
                                                 179J.03 | Fall 2024 | Faculty: | Greg Byers | 🏫 | 👤 | Size: | 50"
MUSC 180,Raga: Vocal or Instrumental Study of Hindustani Music,1 credits,"Beginning, intermediate, and advanced students of voice, guitar, violin, flute, clarinet, etc., approach raga from their current level of musicianship. In all cases, traditional practical instruction is complemented by some theoretical and philosophical exploration of the underpinnings of the music.Lessons are scheduled individually with the instructor.Music lesson fee information can be found on theMusic Department website.",Fall 2024,"ARP, Arts Practice",,ASST Arts & Literature | ASST South Asia | SAST Supp Lit/Art Analys,"MUSC
                                                 180.00 | Fall 2024 | Faculty: | David Whetstone | 🏫 | 👤 | Size: | 50 | Grading: | S/CR/NC"
MUSC 180J,Raga: Vocal or Instrumental Study of Hindustani Music (Juried),1 credits,"Beginning, intermediate, and advanced students of voice, guitar, violin, flute, clarinet, etc., approach raga from their current level of musicianship. In all cases, traditional practical instruction is complemented by some theoretical and philosophical exploration of the underpinnings of the music.Lessons are scheduled individually with the instructor.Music lesson fee information can be found on theMusic Department website.",Fall 2024,"ARP, Arts Practice",,ASST Arts & Literature | ASST South Asia | MUSC Juried,"MUSC
                                                 180J.00 | Fall 2024 | Faculty: | David Whetstone | 🏫 | 👤 | Size: | 50"
MUSC 181,Sitar,1 credits,Beginning through advanced study of sitar in the gayaki ang style of Ustad Vilayat Khan. Previous musical experience is not necessary. Sitars are provided.Lessons are scheduled individually with the instructor.Music lesson fee information can be found on theMusic Department website.,Fall 2024,"ARP, Arts Practice",,ASST Arts & Literature | ASST South Asia | SAST Supp Lit/Art Analys,"MUSC
                                                 181.00 | Fall 2024 | Faculty: | David Whetstone | 🏫 | 👤 | Size: | 50 | Grading: | S/CR/NC"
MUSC 181J,Sitar (Juried),1 credits,Beginning through advanced study of sitar in the gayaki ang style of Ustad Vilayat Khan. Previous musical experience is not necessary. Sitars are provided.Lessons are scheduled individually with the instructor.Music lesson fee information can be found on theMusic Department website.,Fall 2024,"ARP, Arts Practice",,ASST Arts & Literature | ASST South Asia | MUSC Juried,"MUSC
                                                 181J.00 | Fall 2024 | Faculty: | David Whetstone | 🏫 | 👤 | Size: | 50"
MUSC 182,Chinese Musical Instruments,1 credits,"Beginning through advanced study on traditional Chinese instruments, pipa (Chinese lute), erhu (Chinese violin), guzheng (Chinese zither), zhongruan (Chinese moon guitar), hulusi, bawu and dizi (Chinese bamboo flutes).Lessons are scheduled individually with the instructor.Music lesson fee information can be found on theMusic Department website.",Fall 2024,"ARP, Arts Practice",,ASST Arts & Literature | ASST East Asia | EAST Supporting,"MUSC
                                                 182.00 | Fall 2024 | Faculty: | Gao Hong | 🏫 | 👤 | Size: | 50 | Grading: | S/CR/NC"
MUSC 182J,Chinese Musical Instruments (Juried),1 credits,"Beginning through advanced study on traditional Chinese instruments, pipa (Chinese lute), erhu (Chinese violin), guzheng (Chinese zither), zhongruan (Chinese moon guitar), hulusi, bawu and dizi (Chinese bamboo flutes).Lessons are scheduled individually with the instructor.Music lesson fee information can be found on theMusic Department website.",Fall 2024,"ARP, Arts Practice",,ASST Arts & Literature | ASST East Asia | EAST Supporting | MUSC Juried,"MUSC
                                                 182J.00 | Fall 2024 | Faculty: | Gao Hong | 🏫 | 👤 | Size: | 50"
MUSC 184,American Folk Instruments,1 credits,"Beginning to advanced study of technique and improvisational styles on American folk instruments. Students may study 5-string banjo (bluegrass or clawhammer style), bluegrass guitar, Dobro©, fiddle (violin, viola, cello), bass, ukulele, mandolin, and accordion. The Music Department has a single mandolin, fiddle, banjo, and guitar (and two ukuleles) available for shared use by enrolled students unable to provide their own instruments.Lessons are scheduled individually with the instructor.Music lesson fee information can be found on theMusic Department website.",Fall 2024,"ARP, Arts Practice",,,"MUSC
                                                 184.00 | Fall 2024 | Faculty: | Ben Valine | 🏫 | 👤 | Size: | 50 | Grading: | S/CR/NC"
MUSC 184J,American Folk Instruments (Juried),1 credits,"Beginning to advanced study of technique and improvisational styles on American folk instruments. Students may study 5-string banjo (bluegrass or clawhammer style), bluegrass guitar, Dobro©, fiddle (violin, viola, cello), bass, ukulele, mandolin, and accordion. The Music Department has a single mandolin, fiddle, banjo, and guitar (and two ukuleles) available for shared use by enrolled students unable to provide their own instrumentsLessons are scheduled individually with the instructor.Music lesson fee information can be found on theMusic Department website.",Fall 2024,"ARP, Arts Practice",,MUSC Juried,"MUSC
                                                 184J.00 | Fall 2024 | Faculty: | Ben Valine | 🏫 | 👤 | Size: | 50"
MUSC 185,Carleton Choir,1 credits,"The Carleton Choir is a select vocal ensemble (SATB) performing concertized choral music from diverse genres. It strives for artistic excellence whether singing music from the Baroque period to contemporary choral music, or arrangements of spirituals, pop songs, or global songs. The Carleton Choir regularly tours and collaborates with other choirs. Singers demonstrate moderate to advanced musicianship skills and most have strong vocal background from voice lessons and/or high school choirs. An audition is required, and members are expected to commit to the entire academic year (with exceptions offered for varsity sports, off-campus program, and unique academic circumstances). Admission by audition.Admission by audition. Extra time required for tours",Fall 2024,"ARP, Arts Practice",,MUSC Ensemble,"MUSC
                                                 185.00 | Fall 2024 | Faculty: | Matthew Olson | 🏫 | 👤 | Size: | 70 | Grading: | S/CR/NC | M | Weitz Center M215 | 4:45pm-6:15pm | W | Weitz Center M215 | 4:45pm-6:00pm"
MUSC 186,Carleton Voices,1 credits,"The Carleton Voices is a mixed vocal ensemble that sings eclectic musical styles including musical theater, pop/rock, classical, gospel, folk, jazz, and global songs. The ensemble regularly collaborates with guest artists ranging from folk bands, gospel trios, and visiting choirs. Singers do not need to be able to read Western music notation; rehearsals will be led via multiple learning modes including call and response, learning tracks, instrumental support, and sheet music. Each term, The Carleton Voices collaborates with The Carleton Choir in rehearsals and concert. A voice placement is required so that the instructor can learn about your vocal range.By Audition only, Extra time required",Fall 2024,"ARP, Arts Practice",,MUSC Ensemble,"MUSC
                                                 186.00 | Fall 2024 | Faculty: | Matthew Olson | 🏫 | 👤 | Size: | 50 | Grading: | S/CR/NC | TH | Weitz Center M215 | 4:45pm-6:45pm"
MUSC 187,Carleton Orchestra,1 credits,"The Carleton Orchestra performs large symphonic masterpieces, such as Beethoven, Stravinsky and Bernstein. Concerti with students and faculty soloists, and smaller works for string and wind ensembles are also performed. Occasional sight-reading sessions. Admission by audition.Admission by audition.",Fall 2024,"ARP, Arts Practice",,MUSC Ensemble,"MUSC
                                                 187.00 | Fall 2024 | Faculty: | Hannah Schendel | 🏫 | 👤 | Size: | 100 | Grading: | S/CR/NC | M | Weitz Center M104 | 6:30pm-8:00pm | T, TH | Weitz Center M104 | 6:30pm-8:00pm"
MUSC 188,Carleton Chinese Music Ensemble,1 credits,"The ensemble will use indigenous instruments and a Chinese approach to musical training in order to learn and perform music from China. In addition to the Wednesday meeting time, there will be one sectional rehearsal each week. Prerequisite: Previous experience in a music ensemble, Chinese Musical instruments or instructor permission.Prerequisite:Previous experience in a music ensemble, Chinese Musical instruments or instructor permission",Fall 2024,"ARP, Arts Practice | IS, International Studies",,MUSC Ensemble,"MUSC
                                                 188.00 | Fall 2024 | Faculty: | Gao Hong | 🏫 | 👤 | Size: | 30 | Grading: | S/CR/NC | W | Weitz Center M104 | 4:30pm-6:00pm"
MUSC 189,Carleton Symphony Band,1 credits,"The Carleton Symphony Band performs music selected from the standard and contemporary repertory, including compositions by Holst, Masianka, Arnold and others. Regular sight-reading sessions. Admission by audition.Admission by audition.",Fall 2024,"ARP, Arts Practice",,MUSC Ensemble,"MUSC
                                                 189.00 | Fall 2024 | Faculty: | Lauren Visel | 🏫 | 👤 | Size: | 100 | Grading: | S/CR/NC | M, W | Weitz Center M126 | 4:00pm-5:30pm | F | Weitz Center M126 | 3:30pm-5:00pm"
MUSC 190,Carleton Jazz Ensemble,1 credits,"The Carleton Jazz Ensemble's focus is on improvisation and the fusion between jazz, rock, funk, and Latin influences. There is no predetermined instrumentation. Rather, the ensemble's size and instrumentation vary each term. String players, vocalists, and any brass or woodwind instrumentalists are welcome to register. The ensemble performs once each term. Admission by audition.Admission by audition.",Fall 2024,"ARP, Arts Practice",,MUSC Ensemble,"MUSC
                                                 190.00 | Fall 2024 | Faculty: | Laura Caviani | 🏫 | 👤 | Size: | 50 | Grading: | S/CR/NC | M, W | Weitz Center M126 | 6:30pm-8:00pm"
MUSC 194,Chamber Music,1 credits,"Small group study and performance of instrumental and/or vocal chamber music from the western art music or non-western/folk repertory. Groups are usually formed by students prior to registration, and should consist of 3-8 musicians. Student groups are coached weekly by specialized music faculty, and participate in an end-of-term performance. Students must be registered, may not audit, and can register for only one group per term. Expected Preparation:Student has completed or is in the process of completing one Applied Music course with a grade of C- or better.",Fall 2024,"ARP, Arts Practice",,MUSC Ensemble,"MUSC
                                                 194.00 | Fall 2024 | Faculty: | Nikki Melville | 🏫 | 👤 | Size: | 50 | Grading: | S/CR/NC || MUSC
                                                 194.01 | Fall 2024 | Faculty: | Hector Valdivia | 🏫 | 👤 | Size: | 50 | Grading: | S/CR/NC || MUSC
                                                 194.02 | Fall 2024 | Faculty: | Thomas Rosenberg | 🏫 | 👤 | Size: | 50 | Grading: | S/CR/NC || MUSC
                                                 194.03 | Fall 2024 | Faculty: | Natalia Moiseeva | 🏫 | 👤 | Size: | 50 | Grading: | S/CR/NC || MUSC
                                                 194.04 | Fall 2024 | Faculty: | Nikki Melville | 🏫 | 👤 | ·                                                                                     Gao Hong | 🏫 | 👤 | Size: | 50 | Grading: | S/CR/NC || MUSC
                                                 194.05 | Fall 2024 | Faculty: | Nikki Melville | 🏫 | 👤 | ·                                                                                     Moira Hill | 🏫 | 👤 | Size: | 50 | Grading: | S/CR/NC || MUSC
                                                 194.06 | Fall 2024 | Faculty: | Briana O’Connell | 🏫 | 👤 | Size: | 50 | Grading: | S/CR/NC || MUSC
                                                 194.08 | Fall 2024 | Faculty: | Nikki Melville | 🏫 | 👤 | ·                                                                                     Matthew Olson | 🏫 | 👤 | Grading: | S/CR/NC"
MUSC 195,Jazz Chamber Music,1 credits,"Small groups participate in the study and performance of instrumental and/or vocal jazz chamber music. Groups are usually formed by students prior to registration, and should usually consist of 3-8 students. Groups rehearse independently, and are coached weekly by jazz music faculty; all groups participate in an end-of-term performance. Students must register, and may not audit; students register for only one group, but may participate in two groups with permission of instructor.",Fall 2024,"ARP, Arts Practice",Student has completed or is in the process of completing any of the following course(s): One Applied Music course with a grade of C- or better.,MUSC Ensemble,"MUSC
                                                 195.01 | Fall 2024 | Faculty: | Laura Caviani | 🏫 | 👤 | Size: | 100 | Grading: | S/CR/NC || MUSC
                                                 195.02 | Fall 2024 | Faculty: | Zacc Harris | 🏫 | 👤 | Size: | 100 | Grading: | S/CR/NC || MUSC
                                                 195.04 | Fall 2024 | Faculty: | Christopher Thomson | 🏫 | 👤 | Size: | 100 | Grading: | S/CR/NC"
MUSC 196,Jazz Workshop,1 credits,"This class focuses on the theory and practice of jazz improvisation. Students will develop their improvisational skills by learning and applying various scales, modes, and chord structures to lab performances of standard jazz repertoire on their respective instruments.Instructor Permission Required",Fall 2024,"ARP, Arts Practice",,CL: 100 level,"MUSC
                                                 196.00 | Fall 2024 | Faculty: | Laura Caviani | 🏫 | 👤 | Size: | 30 | Grading: | S/CR/NC | T | Weitz Center M126 | 3:15pm-5:00pm"
MUSC 197,Class Guitar,1 credits,"An introduction to classical and folk guitar: styles, chords and music notation for persons with little or no previous music instruction. Not to be taken concurrently with Music 152, 152J, 252 or 252J.This is a guitar class. Music Lesson fee information can be found on theMusic Department website.",Fall 2024,"ARP, Arts Practice",,,"MUSC
                                                 197.00 | Fall 2024 | Faculty: | Zacc Harris | 🏫 | 👤 | Size: | 30 | Grading: | S/CR/NC"
MUSC 205,"Disability in Popular Music: Representations, Roles, and Receptions",6 credits,"How do public discourses around bodies and minds shape different styles of popular music? How do musicians and fans challenge ableism? Are certain disabilities more prominent in certain kinds of musics? And: can any of this even be heard? To address these questions, we will explore the life and music of artists such as Stevie Wonder, Joni Mitchell, Victoria Canal, Billie Eilish, and Django Reinhart, and examine how disability functions in subcultures such as punk, hip hop, and K-pop. Readings will be drawn from cultural disability studies, music theory, media studies, and the medical humanities.",Fall 2024,"HI, Humanistic Inquiry | IDS, Intercultural Domestic Studies | WR2 Writing Requirement 2",,MUSC Ethnomusicolgy or Pop | CL: 200 level,"MUSC
                                                 205.00 | Fall 2024 | Faculty: | Jeremy Tatar | 🏫 | 👤 | Size: | 25 | M, W | Weitz Center 230 | 12:30pm-1:40pm | F | Weitz Center 230 | 1:10pm-2:10pm"
MUSC 232,Golden Age of R & B,6 credits,"A survey of rhythm and blues from 1945 to 1975, focusing on performers, composers and the music industry.Not open to students who have taken MUSC 132",Fall 2024,"IDS, Intercultural Domestic Studies | LA, Literary/Artistic Analysis | WR2 Writing Requirement 2",Not open to students that have taken MUSC 132 – Golden Age of R & B,AFST LitArtistic Analysis | AMMU Soundtracks America | AMST Prdctn Consmptn Cult | AMST Race Ethnicty Indign | MUSC Ethnomusicolgy or Pop | CL: 200 level,"MUSC
                                                 232.00 | Fall 2024 | Faculty: | Andy Flory | 🏫 | 👤 | Size: | 25 | M, W | Weitz Center M215 | 1:50pm-3:00pm | F | Weitz Center M215 | 2:20pm-3:20pm"
MUSC 244,Music Studies at the Border,6 credits,"Where is music found? What can we learn about musical practices beyond the score and recording? This course introduces students to hands-on, ethnographic approaches to the study of music. We will consider the ethical, legal, interpersonal, and philosophical challenges of writing about the musical lives of others — and ourselves. Throughout the course, we will work together to design and carry out ethnographic research projects. Selected interested students will develop and carry out a project involving a significant on-site project through a significant on-site visit to the U.S./Mexico border during December. Previous coursework in music is helpful, but not required.An optional, Carleton-funded site visit during the first week of December is planned to travel to the U.S./Mexico border. Students enrolled in MUSC 244 will indicate their interest in this visit by the Fall 2024 drop/add deadline; due to limited funding, only 12 students will be able to participate. Participants will be selected by random lottery among those who are interested. Students participating in the December travel are required to enroll in a 2-credit Winter 2025 MUSC 245 (Thursdays 10:45–11:50am, first five weeks).",Fall 2024,"IDS, Intercultural Domestic Studies | SI, Social Inquiry | WR2 Writing Requirement 2",,ACE Applied | MUSC Ethnomusicolgy or Pop | CL: 200 level,"MUSC
                                                 244.01 | Fall 2024 | Faculty: | Melissa Scott | 🏫 | 👤 | Size: | 20 | T, TH | Weitz Center 231 | 10:10am-11:55am"
MUSC 250,Piano,2 credits,"Weekly one-hour lessons, with repertoire selected as appropriate for the individual student’s experience. Works from a variety of style periods may be studied, with attention to both musical and technical development. Music 250 is intended for the more advanced piano student; permission of instructor is required.Lessons are scheduled individually with the instructor.Music lesson fee information can be found on theMusic Department website. Instructor permission.",Fall 2024,"ARP, Arts Practice",,,"MUSC
                                                 250.00 | Fall 2024 | Faculty: | Nikki Melville | 🏫 | 👤 | Size: | 50 | Grading: | S/CR/NC || MUSC
                                                 250.01 | Fall 2024 | Faculty: | Nikki Melville | 🏫 | 👤 | Size: | 50 | Grading: | S/CR/NC || MUSC
                                                 250.02 | Fall 2024 | Faculty: | Loren Fishman | 🏫 | 👤 | Size: | 50 | Grading: | S/CR/NC || MUSC
                                                 250.03 | Fall 2024 | Faculty: | Matthew McCright | 🏫 | 👤 | Size: | 50 | Grading: | S/CR/NC || MUSC
                                                 250.04 | Fall 2024 | Faculty: | Marcia Widman | 🏫 | 👤 | Size: | 50 | Grading: | S/CR/NC"
MUSC 250J,Piano (Juried),2 credits,"Weekly one-hour lessons, with repertoire selected as appropriate for the individual student’s experience. Works from a variety of style periods may be studied, with attention to both musical and technical development. The juried (J) course includes the opportunity for students to share their work in an end-of-term public or closed performance. Music 250J is intended for the more advanced piano student; permission of instructor is required.Lessons are scheduled individually with the instructor.Music lesson fee information can be found on theMusic Department website.Instructor permission.",Fall 2024,"ARP, Arts Practice",,MUSC Juried,"MUSC
                                                 250J.00 | Fall 2024 | Faculty: | Nikki Melville | 🏫 | 👤 | Size: | 50 || MUSC
                                                 250J.01 | Fall 2024 | Faculty: | Nikki Melville | 🏫 | 👤 | Size: | 50 || MUSC
                                                 250J.02 | Fall 2024 | Faculty: | Loren Fishman | 🏫 | 👤 | Size: | 50 || MUSC
                                                 250J.03 | Fall 2024 | Faculty: | Matthew McCright | 🏫 | 👤 | Size: | 50 || MUSC
                                                 250J.04 | Fall 2024 | Faculty: | Marcia Widman | 🏫 | 👤 | Size: | 50"
MUSC 251,Voice,2 credits,"A study of voice production, breathing, tone development, diction, and pronunciation. Selection (according to the individual voice) of Italian, German, French, and English songs of the Classic, Romantic, and Modern periods. Arias and songs from operas, oratorios, musical theater and popular songs from Western and non-Western traditions. In addition, one studio class per week. Prerequisite: Music 151 or permission of the instructor.Lessons are scheduled individually with the instructor.Music lesson fee information can be found on theMusic Department website.",Fall 2024,"ARP, Arts Practice",,,"MUSC
                                                 251.00 | Fall 2024 | Faculty: | Rick Penning | 🏫 | 👤 | Size: | 50 | Grading: | S/CR/NC || MUSC
                                                 251.02 | Fall 2024 | Faculty: | Melissa Holm-Johansen | 🏫 | 👤 | Size: | 50 | Grading: | S/CR/NC || MUSC
                                                 251.03 | Fall 2024 | Faculty: | Julia Ennen | 🏫 | 👤 | Size: | 50 | Grading: | S/CR/NC || MUSC
                                                 251.05 | Fall 2024 | Faculty: | Rick Penning | 🏫 | 👤 | Size: | 50 | Grading: | S/CR/NC || MUSC
                                                 251.06 | Fall 2024 | Faculty: | Matthew Olson | 🏫 | 👤 | Size: | 50 | Grading: | S/CR/NC"
MUSC 251J,Voice (Juried),2 credits,"A study of voice production, breathing, tone development, diction, and pronunciation. Selection (according to the individual voice) of Italian, German, French, and English songs of the Classic, Romantic, and Modern periods. Arias and songs from operas, oratorios, musical theater and popular songs from Western and non-Western traditions. In addition, one studio class per week. Prerequisite: Music 151 or permission of the instructor.Lessons are scheduled individually with the instructor.Music lesson fee information can be found on theMusic Department website.",Fall 2024,"ARP, Arts Practice",,MUSC Juried,"MUSC
                                                 251J.00 | Fall 2024 | Faculty: | Rick Penning | 🏫 | 👤 | Size: | 50 || MUSC
                                                 251J.02 | Fall 2024 | Faculty: | Melissa Holm-Johansen | 🏫 | 👤 | Size: | 50 || MUSC
                                                 251J.03 | Fall 2024 | Faculty: | Julia Ennen | 🏫 | 👤 | Size: | 50 || MUSC
                                                 251J.05 | Fall 2024 | Faculty: | Rick Penning | 🏫 | 👤 | Size: | 50 || MUSC
                                                 251J.06 | Fall 2024 | Faculty: | Matthew Olson | 🏫 | 👤 | Size: | 50"
MUSC 252,Guitar,2 credits,"Studies for the development of technique appropriate to the needs of the student. Music is chosen from all musical periods including folk picking, blues, ragtime, popular and classical styles. Students with no prior experience or lessons should take one term of class guitar (Music 197).Lessons are scheduled individually with the instructor.Music lesson fee information can be found on theMusic Department website.",Fall 2024,"ARP, Arts Practice",,,"MUSC
                                                 252.00 | Fall 2024 | Faculty: | Ben Valine | 🏫 | 👤 | Size: | 5 | Grading: | S/CR/NC"
