Course Number,Course Title,Credits,Description,Offered Term,Liberal Arts Requirements,Tags,Prerequisites,Faculty,Meeting Day,Location,Time,Unnamed: 12
HIST 116,"Intro to Indigenous Histories, 1887-present",6 credits,"Many Americans grow up with a fictionalized view of Indigenous people (sometimes also called Native Americans/American Indians, Alaska Natives, and Native Hawaiians within the U.S. context). Understanding Indigenous peoples’ histories, presents, and possible futures requires moving beyond these stereotypes and listening to Indigenous perspectives. In this class, we will begin to learn about Indigenous peoples across Turtle Island and the Pacific through tribal histories, legislation, Supreme Court cases, and personal narratives. The course will focus on the period from 1887 to 2018 with major themes including (among others) agency, resistance, resilience, settler colonialism, discrimination, and structural racism.",Spring 2025,"HI, Humanistic Inquiry, IDS, Intercultural Domestic Studies","ACE Applied, AMST Democracy Activism, AMST Race Ethnicty Indign, AMST Survey 2, EDUC 2 Soc and Cult Context, HIST Modern, HIST US History, CL: 100 level",,Meredith McCoy,"T, TH",Leighton 426,1:15pm-3:00pm,
HIST 153,History of Modern China,6 credits,"This course examines major features of the trajectory of China’s recent past spanning from the seventeenth century through the present.  Students will analyze deep socio-cultural currents that cut across the changes in socioeconomic as well as political arenas. Themes for discussion will include state formations, social changes, economic developments, religious orientations, bureaucratic behaviors, and cultural refinements that the Chinese have made.  Students are also expected to develop skills to frame key historical questions against broader historiographical contexts by engaging in analyses of many different types of primary sources.",Spring 2025,"CX, Cultural/Linguistics, HI, Humanistic Inquiry, IS, International Studies, WR2 Writing Requirement 2","ASST East Asia, ASST Humanities, EAST Core, HIST Asia, POSI Elective/Non POSC, CL: 100 level",,Seungjoo Yoon,"M, W",Leighton 303,1:50pm-3:00pm,
HIST 201,"Rome Program: Building Power and Piety in Medieval Italy, CE 300-1150",6 credits,"Through site visits, on-site projects, and readings, this course explores the ways in which individuals and communities attempted to give physical and visual form to their religious beliefs and political ambitions through their use of materials, iconography, topography, and architecture. We will also examine how the material legacies of imperial Rome, Byzantium, and early Christianity served as both resources for and constraints on the political, cultural, and religious evolution of the Italian peninsula and especially Rome and its environs from late antiquity through the twelfth century. Among the principal themes will be the development of the cult of saints, the development of the papal power and authority, Christianization, reform, pilgrimage, and monasticism.Open only to participants in Carleton OCS Rome Program",Spring 2025,"HI, Humanistic Inquiry, IS, International Studies","ARCN Pertinent, EUST Country Specific, HIST Ancient & Medvl, HIST Pre-Modern, MARS Core Course, MARS Supporting, RELG Christian Traditions, RELG Pertinent Course, RELG XDept Pertinent, CL: 200 level",Acceptance in the Carleton OCS History in Rome Program.,William North,,,,
HIST 205,American Environmental History,6 credits,"Environmental concerns, conflicts, and change mark the course of American history, from the distant colonial past to our own day. This course will consider the nature of these eco-cultural developments, focusing on the complicated ways that human thought and perception, culture and society, and natural processes and biota have all combined to forge Americans’ changing relationship with the natural world. Topics will include Native American subsistence strategies, Euroamerican settlement, industrialization, urbanization, consumption, and the environmental movement. As we explore these issues, one of our overarching goals will be to develop an historical context for thinking deeply about contemporary environmental dilemmas.",Spring 2025,"HI, Humanistic Inquiry, IDS, Intercultural Domestic Studies","AMST Democracy Activism, AMST Space and Place, ENTS Core Course, HIST Environment and Health, HIST Modern, HIST US History, POSI Elective/Non POSC, PPOL Envir Pol & Sustainablty, CL: 200 level",,George Vrtis,"T, TH",Library 344,1:15pm-3:00pm,
HIST 206,"Rome Program: The Eternal City in Time: Structure, Change, and Identity",6 credits,"This course will explore the lived experience of the city of Rome in the twelfth-sixteenth centuries. Students will study buildings, urban forms, surviving artifacts, and textual and other visual evidence to understand how politics, power, and religion (both Christianity and Judaism) mapped onto city spaces. How did urban challenges and opportunities shape daily life? How did the memory of the past influence the present? How did the rural world affect the city and vice versa? Students will work on projects closely tied to the urban fabric.OCS Rome Program",Spring 2025,"HI, Humanistic Inquiry, IS, International Studies","DGAH Cross Disc Collabortn, EUST Country Specific, HIST Ancient & Medvl, HIST Pre-Modern, MARS Core Course, MARS Supporting, CL: 200 level",Acceptance in the Carleton OCS History in Rome Program.,Victoria Morse,,,,
HIST 209,Slavery in the Atlantic World,6 credits,"This course explores the history of enslavement in the Atlantic World, including West Africa, South America, the Caribbean, North America, and Europe. The course examines the intersecting themes of power, labor, law, race, gender, sexuality, and resistance. It will consider how these themes each shaped the construction of different institutions of enslavement while simultaneously focusing on the experiences of the enslaved who lived and died within in these systems. Using a comparative methodology, we will ask canonical questions, such as what constitutes a slave society and which forms did resistance, rebellion, and revolution by enslaved people take.",Spring 2025,"HI, Humanistic Inquiry, IS, International Studies, QRE, Quantitative Reasoning","AFST Humanistic Inquiry, HIST Africa & Diaspora, HIST Atlantic World, CL: 200 level, AMST America in the World, AMST Race Ethnicty Indign, AMST Space and Place",,Rebecca Brueckmann,"T, TH",Leighton 330,10:10am-11:55am,
HIST 229,Working with Gender in U.S. History,6 credits,"Historically work has been a central location for the constitution of gender identities for both men and women; at the same time, cultural notions of gender have shaped the labor market. We will investigate the roles of race, class, and ethnicity in shaping multiple sexual divisions of labor and the ways in which terms such as skill, bread-winning and work itself were gendered. Topics will include domestic labor, slavery, industrialization, labor market segmentation, protective legislation, and the labor movement.",Spring 2025,"HI, Humanistic Inquiry, IDS, Intercultural Domestic Studies","AMST Democracy Activism, AMST Prdctn Consmptn Cult, AMST Space and Place, EDUC 2 Soc and Cult Context, GWSS Elective, HIST Modern, HIST US History, CL: 200 level",,Annette Igra,"T, TH",Leighton 202,10:10am-11:55am,
HIST 251,Japan and Europe: Worlds Apart?,6 credits,"This course examines Japanese and European history from c. 1500 to 1900, tracking the disparate ways in which these regions changed over this time period and highlighting their entanglement. We will focus on three modules, each centered on the era when European global expansion was at its peak and when Japan was isolationist. We will explore developments in regional and global trade networks and state and financial institutions, in addition to news networks, the world of publishing, and the social world of intellectual exchange. Finally, the course compares changing views and practices in the fields of science and medicine.",Spring 2025,"HI, Humanistic Inquiry, IS, International Studies, WR2 Writing Requirement 2","EAST Supporting, EUST Country Specific, HIST Asia, HIST Early Mdrn Europe, MARS Supporting, CL: 200 level",,Susannah Ottaway,"M, W",Leighton 330,11:10am-12:20pm,
HIST 265,Central Asia in the Modern Age,6 credits,"Central Asia–the region encompassing the post-Soviet states of Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan, and Uzbekistan, and the Xinjiang region of the People’s Republic of China–is often considered one of the most exotic in the world, but it has experienced all the excesses of the modern age. After a basic introduction to the long-term history of the steppe, this course will concentrate on exploring the history of the region since its conquest by the Russian and Chinese empires. We will discuss the interaction of external and local forces as we explore transformations in the realms of politics, society, culture, and religion.Participation in 2025 Spring Russophone Studies in Central Asia",Spring 2025,"HI, Humanistic Inquiry, IS, International Studies","ASST Central Asia, ASST Humanities, HIST Asia, HIST Modern, MEST Supporting Group 1, POSI Elective/Non POSC, CL: 200 level",,,,,,
HIST 270,Nuclear Nations: India and Pakistan as Rival Siblings,6 credits,"At the stroke of midnight on August 15, 1947 India and Pakistan, two new nation states emerged from the shadow of British colonialism. This course focuses on the political trajectories of these two rival siblings and looks at the ways in which both states use the other to forge antagonistic and belligerent nations. While this is a survey course it is not a comprehensive overview of the history of the two countries. Instead it covers some of the more significant moments of rupture and violence in the political history of the two states. The first two-thirds of the course offers a top-down, macro overview of these events and processes whereas the last third examines the ways in which people experienced these developments. We use the lens of gender to see how the physical body, especially the body of the woman, is central to the process of nation building. We will consider how women’s bodies become sites of contestation and how they are disciplined and policed by the postcolonial state(s).",Spring 2025,"HI, Humanistic Inquiry, IS, International Studies, WR2 Writing Requirement 2","ASST Humanities, ASST South Asia, CCST Encounters, GWSS Elective, HIST Asia, HIST Modern, POSI Elective/Non POSC, SAST Humanistic Inquiry, SAST Supp Humanities, CL: 200 level",,Amna Khalid,"M, W",Leighton 330,12:30pm-1:40pm,
HIST 276,In Search of Moctezuma: Reimagining Mexico’s Indigenous Past,6 credits,"Even while still on the campaign trail, Spain’s conquistadors endeavored to describe Mexico's native societies to other Europeans. Thus began a centuries-long fascination with all things Mesoamerican, real and imaginary. This course explores how the Mesoamerican past has been imagined by indigenous and non-indigenous people. Potential subjects include Spanish conquistadors and missionaries, early Mexican nation-builders and artists, professional and pseudo-archaeologists, apocalyptic doomsayers, promoters of the Mexican tourist industry, and the counterculture and Chicano movements of the 1960s. Importantly, we will also consider how Mexico's indigenous groups have come to understand their own past from the time of Spanish rule to the present day.",Spring 2025,"HI, Humanistic Inquiry, IS, International Studies","HIST Latin America, HIST Modern, LTAM Electives, ARCN Pertinent",,Andrew Fisher,"M, W",Leighton 202,1:50pm-3:00pm,
HIST 287,From Alchemy to the Atom Bomb: The Scientific Revolution and the Making of the Modern World,6 credits,"This course examines the growth of modern science since the Renaissance with an emphasis on the Scientific Revolution, the development of scientific methodology, and the emergence of new scientific disciplines. How might a history of science focused on scientific networks operating within society, rather than on individual scientists, change our understanding of “genius,” “progress,” and “scientific impartiality?” We will consider a range of scientific developments, treating science both as a body of knowledge and as a set of practices, and will gauge the extent to which our knowledge of the natural world is tied to who, when, and where such knowledge has been produced and circulated.",Spring 2025,"HI, Humanistic Inquiry, WR2 Writing Requirement 2","EUST Transnational Supp, HIST Early Mdrn Europe, HIST Environment and Health, HIST Modern, CL: 200 level",,Antony Adler,"M, W",Leighton 202,12:30pm-1:40pm,
HIST 298,Junior Colloquium,6 credits,"In the junior year, majors must take this six-credit reading and discussion course taught each year by different members of the department faculty. The course is also required for the History minor. The general purpose of History 298 is to help students reach a more sophisticated understanding of the nature of history as a discipline and of the approaches and methods of historians. A major who is considering off-campus study in the junior year should consult with their adviser on when to take History 298.Required for History majors and minors",Spring 2025,"HI, Humanistic Inquiry","ASST Disciplinary, ASST Methodology, CL: 200 level","Student has completed any of the following course(s): Two 6 credit History courses excludingHIST 100– A&I , Independent Study and Comps with a grade of C- or better.",Amna Khalid,"M, W",Leighton 202,9:50am-11:00am,
HIST 308,American Cities and Nature,6 credits,"Since the nation's founding, the percentage of Americans living in cities has risen nearly sixteenfold, from about five percent to the current eighty-one percent. This massive change has spawned legions of others, and all of them have bearing on the complex ways that American cities and city-dwellers have shaped and reshaped the natural world. This course will consider the nature of cities in American history, giving particular attention to the dynamic linkages binding these cultural epicenters to ecological communities, environmental forces and resource flows, to eco-politics and social values, and to those seemingly far-away places we call farms and wilderness. HIST 205 is recommended but not required.HIST 205 is recommended but not required.",Spring 2025,"HI, Humanistic Inquiry, IDS, Intercultural Domestic Studies, WR2 Writing Requirement 2","AMST Democracy Activism, AMST Prdctn Consmptn Cult, AMST Space and Place, ENTS Society, Culture and Policy, ENTS Topical Seminar, HIST Environment and Health, HIST Modern, HIST US History, PPOL Envir Pol & Sustainablty, CL: 300 level",,George Vrtis,"T, TH",Library 344,10:10am-11:55am,
HIST 347,The Global Cold War,6 credits,"In the aftermath of the Second World War and through the 1980s, the United States and the Soviet Union competed for world dominance. This Cold War spawned hot wars, as well as a cultural and economic struggle for influence all over the globe. This course will look at the experience of the Cold War from the perspective of its two main adversaries, the U.S. and USSR, but will also devote considerable attention to South America, Asia, Africa, and the Middle East. Students will write a 20 page paper based on original research.",Spring 2025,"HI, Humanistic Inquiry, IS, International Studies, WR2 Writing Requirement 2","EUST Transnational Supp, HIST Early Mdrn Europe, HIST Modern, POSI Elective/Non POSC, CL: 300 level",,David Tompkins,"T, TH",Leighton 301,10:10am-11:55am,
IDSC 198,FOCUS Colloquium,2 credits,"This colloquium is designed to give students participating in the Focusing on Cultivating Scientists program an opportunity to learn and use skills in scientific study, reasoning, and modeling. The topics of this project-based colloquium will vary each term, and allow students to develop competencies in areas relevant to multiple science disciplines.",Spring 2025,No Exploration,CL: 100 level,Student is a member of the FOCUS Colloquium cohort.,Anna Rafferty,W,Anderson Hall 223,1:50pm-3:00pm,
IDSC 202,MMUF Research Seminar,2 credits,"This seminar develops the skills needed to engage in and communicate advanced research. Each participant will work and present regularly on their ongoing research projects, and participate actively in an ongoing series of workshops and conferences. The seminar will also discuss in depth the nature of academia as institution and culture, and the role of diversity in the production of knowledge and teaching in American higher education. Open only to students with MMUF fellow status.Must be MMUF Fellow",Spring 2025,No Exploration,CL: 200 level,,Cherlon Ussery,F,Olin 102,3:30pm-4:30pm,
IDSC 238,"Vaccines: Science, Skeptics, and Stakeholders",6 credits,"Vaccines are often touted as one of humankind’s greatest biomedical achievements. They have undoubtedly prevented hundreds of millions of deaths from infectious diseases since their discovery. Yet, there remain many obstacles that prevent their wider development and dissemination. Among these are the technological challenges associated with vaccine development, the well-funded anti-vaccination movements that often thrive on and spread misinformation, and economic hurdles that affect the production and equitable distribution of vaccines. Through an interdisciplinary lens that incorporates material from biology, psychology, and economics, this course will allow students to reach an integrated understanding of vaccines.",Spring 2025,No Exploration,CL: 200 level,,Ken Abrams,,,,
IDSC 251,Windows on the Good Life,2 credits,"Human beings are always and everywhere challenged by the question: What should I do to spend my mortal time well? One way to approach this ultimate challenge is to explore some of the great cultural products of our civilization–works that are a delight to read for their wisdom and artfulness. This series of two-credit courses will explore a philosophical dialogue of Plato in the fall, a work from the Bible in the winter, and a pair of plays by Shakespeare in the spring. The course can be repeated for credit throughout the year and in subsequent years.",Spring 2025,"HI, Humanistic Inquiry",CL: 200 level,,Laurence Cooper,M,Hasenstab 109,3:10pm-4:45pm,
IDSC 280,Learning from Internships,1 credits,"Carleton does not grant credit for internships, but valuable off-campus learning experiences can be integrated into the academic program. Although the specific nature of internship experiences will vary, internships are opportunities to apply and extend one's academic skills and interests into work in non-academic settings. This course will involve carefully monitored work experiences in which a student has intentional learning goals. Achieving these goals will be measured through reflective writing assignments, as well as written work in connection with assigned readings. Recommended Preparation:An internship and learning contract approved by the Career Center Director of Internships. The internship must be a minimum of 6 weeks and 180 hours and approved in advance by the instructor and the Career Center Internship Program Director.Instructor Consent required",Spring 2025,No Exploration,CL: 200 level,"This course requires permission from the instructor.To request permission,click this linkand fill out the request form.Please note: the link will open in a new window. Once you have received permission from the instructor, you will be able to return to this page to register for the course.",Yansi Pérez,,,,
IDSC 289,Science Fellows Research Colloquium,1 credits,"This colloquium develops the skills needed to engage in and communicate scientific and mathematical research. Topics will vary each term, but will include searching and reading the primary literature and communicating results orally and via posters. The colloquium will also explore the landscape of academic scientific research and how to negotiate the expectations of being a research group member.Instructor permission required, students should waitlist.",Spring 2025,No Exploration,CL: 200 level,"This course requires permission from the instructor.To request permission,click this linkand fill out the request form.Please note: the link will open in a new window. Once you have received permission from the instructor, you will be able to return to this page to register for the course.",Rob Thompson,,,,
IDSC 298,FOCUS Sophomore Colloquium,1 credits,This colloquium is designed for sophomore students participating in the Focusing on Cultivating Scientists program. It will provide an opportunity to participate in STEM-based projects on campus and in the community. The topics of this project-based colloquium will vary each term.Open only to students who completed IDSC 198,Spring 2025,No Exploration,"ACE Applied, CL: 200 level",Student has completed any of the following course(s):IDSC 198– Focus Colloquium with a grade of C- or better during their first year.,Rika Anderson,W,Anderson Hall 223,3:10pm-4:20pm,
JAPN 103,Elementary Japanese,6 credits,Continuation of Japanese 102.,Spring 2025,No Exploration,"ASST Language, CL: 100 level",Student has completed any of the following course(s):JAPN 102– Elementary Japanese with a grade of C- or better or equivalent.,Lingling Ma,"M, W",Language & Dining Center 243,8:30am-9:40am,
JAPN 206,Japanese in Cultural Context,6 credits,"This course advances students’ proficiency in the four skills of speaking, listening, reading and writing in Japanese. The course also integrates elements of traditional Japanese civilization and modern Japanese society, emphasizing cultural understanding and situationally appropriate language use.",Spring 2025,"LP Language Requirement, No Exploration","ACE Applied, ACE Theoretical, ASST East Asia, ASST Language, EAST Supporting, CL: 200 level",Student has completed any of the following course(s):JAPN 205– Intermediate Japanese with a grade of C- or better or equivalent.,Miaki Habuka,"M, W",Language & Dining Center 243,11:10am-12:20pm,
JAPN 343,Advanced Japanese: Nature in Popular Media,6 credits,"This course examines Japanese popular media through an environmental lens, spanning from the thireteenth century to the present. It explores how novels, films, and animation depict the evolving human relationship with the non-human world amidst political, cultural, and philosophical shifts. Topics include modernization, internal colonization, gender dynamics, and industrial disasters, with a focus on canonical authors and global issues. Students develop skills in cultural comprehension through discussions and written assignments.",Spring 2025,"IS, International Studies, LA, Literary/Artistic Analysis","ASST Language, EAST Supporting, CL: 300 level",Student has completed any of the following course(s):JAPN 206– Japanese in Cultural Context with grade of C- or better.,Chie Tokuyama,"M, W",Language & Dining Center 242,1:50pm-3:00pm,
LATN 103,Introduction to Latin Prose and Poetry,6 credits,This course completes the formal textbook introduction to the morphology and syntax of Latin. The focus will be on consolidating and applying grammatical concepts learned throughout the Latin sequence to the reading of extended selections of authentic Roman prose and poetry.,Spring 2025,No Exploration,"CLAS Core, CL: 100 level",Student has completed any of the following course(s):LATN 102– Intermediate Latin with a grade of C- or better or equivalent.,Cecilia Cozzi,"M, W",Language & Dining Center 243,1:50pm-3:00pm,
LATN 240,The Tortured Poets: Love Poetry from Catullus to Taylor Swift,6 credits,"Poetry has always offered people a way to express their feelings and connect to their emotions, especially those related to love. From the thrill of new romance to the pain of heartbreak, poets find a haven in their art to declare their conflicting feelings and explore the ecstasy of mutual love or the torture of unrequited love. In this course, we will focus on Roman love/elegiac poetry (poems by Catullus, Tibullus, Propertius, and Ovid) in their original language and cultural context, while exploring themes and tropes that define the genre and still inspire modern love poetry and songs.",Spring 2025,"LA, Literary/Artistic Analysis",CL: 200 level,Student has completed any of the following course(s):LATN 204– Intermediate Latin Prose and Poetry with a grade of C- or better or equivalent.,Anastasia Pantazopoulou,"M, W",Language & Dining Center 244,12:30pm-1:40pm,
LING 110,Introduction to Linguistics,6 credits,"The capacity to acquire and use natural languages such as English is surely one of the more remarkable features of human nature. In this course, we explore several aspects of this ability. Topics include the sound systems of natural languages, the structure of words, principles that regulate word order, the course of language acquisition in children, and what these reveal about the nature of the mind.",Spring 2025,"FSR, Formal or Statistical Reasoning","CL: 100 level, LING core 100 or 110",,Cherlon Ussery,"T, TH",Weitz Center 235,1:15pm-3:00pm,
LING 115,Introduction to the Theory of Syntax,6 credits,"This course is organized to enable the student to actively participate in the construction of a rather elaborate theory of the nature of human cognitive capacity to acquire and use natural languages. In particular, we concentrate on one aspect of that capacity: the unconscious acquisition of a grammar that enables a speaker of a language to produce and recognize sentences that have not been previously encountered. In the first part of the course, we concentrate on gathering notation and terminology intended to allow an explicit and manageable description. In the second part, we depend on written and oral student contributions in a cooperative enterprise of theory construction.",Spring 2025,"FSR, Formal or Statistical Reasoning","CGSC Core, LING Core Course, CL: 100 level",,Catherine Fortin,"M, W",Leighton 426,11:10am-12:20pm,
LING 135,Introduction to Sociolinguistics,6 credits,"There is a complex relationship between language and society. This course examines how language variation is tied to identity and the role of language in human social interaction. We will consider language as it relates to social status, age, gender, ethnicity, and location as well as theoretical models used to study variation. We will also examine how language is used in conversation, in the media, and beyond using ethnography of communication and discourse analysis. You will become more aware of how language is used in your own daily life and will be able to argue sociolinguistic perspectives on language attitudes.",Spring 2025,"IDS, Intercultural Domestic Studies, SI, Social Inquiry","CL: 100 level, LING Elective",,Andrew Bray,"M, W",Willis 203,12:30pm-1:40pm,
LING 319,Sociolinguistic Field Methods,6 credits,"Participants in this course learn how to design and conduct sociolinguistic research, with a focus on the varieties of English spoken in Minnesota. After an introduction to the quantitative sociolinguistic methods used to obtain large data sets of naturalistic speech (publicly available data, online questionnaires, individual and group interviews, and ethnography), participants design studies investigating the status of a phonetic or phonological linguistic variable typically attributed to regional Englishes. The course culminates in a pilot study assessing the status of these variables in the speech of Minnesotans.",Spring 2025,"QRE, Quantitative Reasoning, SI, Social Inquiry",LING Advanced Course,Student has completed any of the following course(s):LING 217– Phonetics & Phonology orLING 219– Sociophonetic Analysis with grade of C- or better.,Andrew Bray,"M, W",Willis 203,1:50pm-3:00pm,
LTAM 220,"Eating the Americas: 5,000 Years of Food",6 credits,"Food is both a biological necessity and a cultural symbol. We eat to survive, we “are what we eat,” and delicious foods are “to die for.” What does this all mean in the context of Latin America, which gave us the origins of peanut butter (peanuts), spaghetti sauce (tomatoes), avocado toast (avocados), french fries (potatoes), and power bowls (quinoa)? In this class, we will explore the long history humans have had with food in Latin America, drawing from archaeology, ethnohistory, and anthropology to explore the relationship between food, culture, power, identity, gender, and ethnicity.",Spring 2025,"IS, International Studies, SI, Social Inquiry, WR2 Writing Requirement 2","ARCN Pertinent, ENTS Society, Culture and Policy, LTAM Electives, SOAN Pertinent, CL: 200 level",,Sarah Kennedy,"M, W",Library 344,12:30pm-1:40pm,
LTAM 398,Latin American Forum,2 credits,"This colloquium will explore specific issues or works in Latin American Studies through discussion of a common reading, public presentation, project, and/or performance that constitute the annual Latin American Forum. Students will be required to attend two meetings during the term to discuss the common reading or other material and must attend, without exception. All events of the Forum which take place during fourth week of spring term (on Friday afternoon and Saturday morning). A short integrative essay or report will be required at the end of the term. Intended as capstone for the Latin American Studies minor.",Spring 2025,"HI, Humanistic Inquiry, IS, International Studies",LTAM Electives,,Alfred Montero,,,,
MATH 111,Introduction to Calculus,6 credits,"An introduction to the differential and integral calculus. Derivatives, antiderivatives, the definite integral, applications, and the fundamental theorem of calculus.Not open to students who have received credit for MATH 101",Spring 2025,"FSR, Formal or Statistical Reasoning","CS Required for Major, MATH Required Core Course, STAT Supporting, PHYS Mathematics Course, CL: 100 level","Student has received a score of 111 on the Carleton Math Placement exam.Not open to students who have received credit for Mathematics 101 or received a score of 4 or better on the Calculus AB AP exam or received a score of 4 or better on the Calculus BC AP exam or received a score of 5 or better on the Calculus IB exam. For more information, see the Mathematics' web page.",Joseph Johnson,"M, W",CMC 209,9:50am-11:00am,
MATH 120,Calculus 2,6 credits,"Inverse functions, integration by parts, improper integrals, modeling with differential equations, vectors, calculus of functions of two independent variables including directional derivatives and double integrals, Lagrange multipliers.Not open to students who have received credit for MATH 211 or have a score of 4 or 5 on the AP Calculus BC exam.",Spring 2025,"FSR, Formal or Statistical Reasoning","MATH Required Core Course, STAT Supporting, PHYS Mathematics Course, CL: 100 level",Student has completed any of the following course(s):MATH 101– Calculus with Problem Solving orMATH 111– Introduction to Calculus with a grade of C- or better or received a scored of 4 or better on AP Calculus AB test or received a scored of 5 or better on Calculus IB test or placement exam. Not open to students who received a scored of 4 or better on the AP Calculus BC test or completedMATH 211with a grade of C- or better.,Rebecca Terry,"M, W",CMC 209,8:30am-9:40am,
MATH 134,Linear Algebra with Applications,6 credits,"Linear algebra centers on the geometry, algebra, and applications of linear equations.  It is pivotal to many areas of mathematics, natural sciences, computer science, and engineering. To study linear equations, we will develop concepts including matrix algebra, linear independence, determinants, eigenvectors, and orthogonality.  Students will use these tools to model real world problems and solve these problems using computational software.This course is not open to students who have received credit for MATH 232.",Spring 2025,"FSR, Formal or Statistical Reasoning","STAT Supporting, MATH Required Core Course, PHYS Mathematics Course, CL: 100 level",Not open to students who have takenMATH 232– Linear Algebra or equivalents.,Rob Thompson,"M, W",CMC 210,11:10am-12:20pm,
MATH 210,Calculus 3,6 credits,"Vectors, curves, calculus of functions of three independent variables, including directional derivatives and triple integrals, cylindrical and spherical coordinates, line integrals, Green's theorem, sequences and series, power series, Taylor series. This course cannot be substituted for MATH 211.This course cannot be substituted for MATH 211",Spring 2025,"FSR, Formal or Statistical Reasoning","MATH Required Core Course, STAT Supporting, PHYS Mathematics Course, CL: 200 level",Student has completed any of the following course(s):MATH 120– Calculus 2 with a grade of C- or better. Students who have received a score of 4 or greater on the AP Calculus BC exam should register forMATH 211– Multivariable Calculus.,Corey Brooke,"M, W",CMC 206,9:50am-11:00am,
MATH 232,Linear Algebra,6 credits,"Linear algebra centers on the study of highly structured functions called linear transformations. Given the abundance of nonlinear functions in mathematics, it may come as a surprise that restricting to linear ones opens the door to a rich and powerful theory that finds applications throughout mathematics, statistics, computer science, and the natural and social sciences. Linear transformations are everywhere, once we know what to look for. They appear in calculus as the functions that are used to define lines and planes in Euclidean space. In fact, differentiation is also a linear transformation that takes one function to another. The course focuses on developing geometric intuition as well as computational matrix methods. Topics include kernel and image of a linear transformation, vector spaces, determinants, eigenvectors and eigenvalues.This course is not open to students who have received credit for MATH 134.",Spring 2025,"FSR, Formal or Statistical Reasoning","MATH Required Core Course, STAT Supporting, PHYS Mathematics Course, CL: 200 level",Student has completed any of the following course(s):MATH 120– Calculus 2 orMATH 211– Introduction to Multivariable Calculus with a grade of C- or better or equivalent.,Mike Adams,"M, W",CMC 210,9:50am-11:00am,
MATH 236,Mathematical Structures,6 credits,"Basic concepts and techniques used throughout mathematics. Topics include logic, mathematical induction and other methods of proof, problem solving, sets, cardinality, equivalence relations, functions and relations, and the axiom of choice. Other topics may include: algebraic structures, graph theory, and basic combinatorics.",Spring 2025,"FSR, Formal or Statistical Reasoning","MATH Required Core Course, PHIL Interdisciplinary 2, PHIL Logic and Formal Reasoning 1, CL: 200 level",Student has completed any of the following course(s):MATH 134– Linear Algebra with Applications orMATH 232– Linear Algebra ANDMATH 210– Calculus 3 orMATH 211– Multivariable Calculus with a grade of C- or better or equivalent.,MurphyKate Montee,"M, W",CMC 206,12:30pm-1:40pm,
MATH 241,Ordinary Differential Equations,6 credits,"Ordinary differential equations are a fundamental language used by mathematicians, scientists, and engineers to describe processes involving continuous change. In this course we develop ordinary differential equations as models of real world phenomena and explore the mathematical ideas that arise within these models. Topics include separation of variables; phase portraits; equilibria and their stability; non-dimensionalization; bifurcation analysis; and modeling of physical, biological, chemical, and social processes.",Spring 2025,"FSR, Formal or Statistical Reasoning","MATH Applied, MATH Electives, PHYS Addl Recommended, CL: 200 level",Student must have completed any of the following course(s):MATH 134– Linear Algebra with Applications orMATH 232– Linear Algebra ANDMATH 120– Calculus 2 orMATH 211– Multivariable Calculus with a grade of C- or better or equivalents.,Rebecca Terry,"M, W",CMC 209,11:10am-12:20pm,
MATH 271,Optimization,6 credits,"Optimization is all about selecting the""best""thing. Finding the most likely strategy to win a game, the route that gets you there the fastest, or the curve that most closely fits given data are all examples of optimization problems. In this course we study linear optimization (also known as linear programming), the simplex method, and duality from both a theoretical and a computational perspective. Applications will be selected from statistics, economics, computer science, and more. Additional topics in nonlinear and convex optimization will be covered as time permits.",Spring 2025,"FSR, Formal or Statistical Reasoning","MATH Applied, MATH Electives, STAT Elective, SDSC Math Stats Elective, CL: 200 level",Student must have completed any of the following course(s):MATH 134– Linear Algebra with Applications orMATH 232– Linear Algebra ANDMATH 120– Calculus 2 orMATH 211– Multivariable Calculus with a grade of C- or better or equivalents.,Rob Thompson,"M, W",CMC 206,1:50pm-3:00pm,
MATH 297,Assessment and Communication of External Mathematical Activity,1 credits,"An independent study course intended for students who have completed an external activity related to the mathematics major (for example, an internship or an externship) to communicate (both in written and oral forms) and assess their mathematical learning from that activity.Permission of department chair and homework in advance of the external mathematical activity.",Spring 2025,No Exploration,CL: Independent Study,"This course requires permission from the instructor.To request permission,click this linkand fill out the request form.Please note: the link will open in a new window. Once you have received permission from the instructor, you will be able to return to this page to register for the course.",Rafe Jones,,,,
MATH 331,Real Analysis II,6 credits,"Further topics in analysis such as measure theory, Lebesgue integration or Banach and Hilbert spaces.",Spring 2025,"FSR, Formal or Statistical Reasoning","MATH Analysis, MATH Electives, CL: 300 level",Student has completed any of the following course(s):MATH 321– Real Analysis I with a grade of C- or better.,Sunrose Shrestha,"M, W",CMC 206,11:10am-12:20pm,
MATH 341,Partial Differential Equations,6 credits,"An introduction to partial differential equations with emphasis on the heat equation, wave equation, and Laplace’s equation. Topics include the method of characteristics, separation of variables, Fourier series, Fourier transforms and existence/uniqueness of solutions.",Spring 2025,"FSR, Formal or Statistical Reasoning","MATH Applied, MATH Electives, CL: 300 level",Student has completed any of the following course(s):MATH 241– Ordinary Differential Equations with gradeof C- or better.,Joseph Johnson,"M, W",CMC 209,1:50pm-3:00pm,
